시도,구군,행정구역명,하수처리장명,하수처리 시설용량,처리구역면적_합,처리구역면적_합류식,처리구역면적_분류식,분류식화율,배수설비_합계(개소),배수설비_합류식(개소),배수설비_분류식합계(개소),배수설비_분류식연결(개소),배수설비_분류식미연결(개소),하수관로_총시설연장,하수관로_차집_오수간선합계,하수관로_차집,하수관로_오수간선,하수관로_합류식우수토실(개소),하수관로_분류식우수토실(개소),하수관로_분류식우수토구(개소),하수관로_지선합계,하수관로_지선합류식,하수관로_지선분류식우수,하수관로_지선분류식오수
대구광역시,남구,남구,달서천,400000,1.88,1.83,0.05,2.7,3369,3369,0,0,0,64816,0,0,0,0,0,0,64816,64024,144,648
대구광역시,남구,남구,서부,520000,4.23,4.11,0.12,2.8,14254,14254,0,0,0,206587,0,0,0,0,0,0,206587,204740,370,1477
대구광역시,남구,남구,신천,680000,3.17,2.79,0.38,12,15962,13996,1966,1966,0,146210,2350,2350,0,12,0,0,143860,97550,2174,44136
대구광역시,북구,북구,달서천,400000,3.38,3.27,0.11,3.3,3299,3299,0,0,0,160504,0,0,0,0,0,0,160504,90478,35930,34096
대구광역시,북구,북구,신천,680000,13.09,8.87,4.22,32.2,21891,11438,10453,10453,0,403060,15283,10593,4690,19,0,9,387777,156296,122799,108682
대구광역시,북구,북구,북부,170000,11.39,2.82,8.57,75.2,14799,3452,11347,11347,0,401227.5,17340.6,17340.6,0,15,28,0,383886.9,204761,79126,99999.9
대구광역시,수성구,수성구,지산,33750,0,0,0,0,0,0,0,0,0,104251,1277,1277,0,8,0,0,102974,68858,15500,18616
대구광역시,수성구,수성구,안심,47000,0,0,0,0,0,0,0,0,0,262458,9344,3203,6141,63,0,0,253114,212616,18857,21641
대구광역시,수성구,수성구,신천,680000,0,0,0,0,0,0,0,0,0,628276,16410,16410,0,113,0,0,611866,474112,65471,72283
대구광역시,달서구,달서구,서부,520000,25.46,15.28,10.18,40,77611,37393,40218,40218,0,1094783.2,20482,16368,4114,16,0,0,1074301.2,233914.7,593835.5,246551
대구광역시,달성군,달성군,서부,520000,7.81,0,7.81,100,9026,0,9026,9026,0,490595.7,34636,10760,23876,25,0,0,455959.7,143781,159481.7,152697
대구광역시,달성군,달성군,옥포 기세,90,0.1,0,0.1,100,84,0,84,84,0,2360,0,0,0,0,0,0,2360,0,0,2360
대구광역시,달성군,달성군,구지 오설,55,0.07,0,0.07,100,92,0,92,92,0,1622,0,0,0,0,0,0,1622,0,0,1622
