"시설별(1)","시설별(2)",시설별(3),자치구별(1),자치구별(2),2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
"보급률 (%)","소계",소계,합계,성북구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,강북구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,도봉구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,노원구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,은평구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0
"보급률 (%)","소계",소계,합계,서대문구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,마포구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,양천구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.4,98.4,98.4
"보급률 (%)","소계",소계,합계,강서구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,구로구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,금천구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.0,99.0,99.7,97.6,97.6
"보급률 (%)","소계",소계,합계,영등포구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,동작구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.7,99.1,98.6
"보급률 (%)","소계",소계,합계,관악구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,서초구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,강남구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,송파구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
"보급률 (%)","소계",소계,합계,강동구,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,99.9,100.0,100.0
"보급률 (%)","소계",소계,합계,중랑처리장,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-,-,-,-,-
"보급률 (%)","소계",소계,합계,탄천처리장,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-,-,-,-,-
"보급률 (%)","소계",소계,합계,서남처리장,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-,-,-,-,-
"보급률 (%)","소계",소계,합계,난지처리장,-,-,-,-,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,-,-,-,-,-
"합류식 (m)","계획면적 (㎢)",소계,합계,소계,311.5,311.6,311.6,311.6,311.6,313.4,313.5,313.8,309.5,361.0,361.0,361.0,361.1,343.4,336.0,342.3,342.0,342.0,342.3,342.3,342.3
"합류식 (m)","계획면적 (㎢)",소계,합계,종로구,-,-,-,-,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,14.1,13.6,14.1,14.0,14.0,14.1,14.1,14.1
"합류식 (m)","계획면적 (㎢)",소계,합계,중구,-,-,-,-,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,9.9,9.1,9.9,10.0,10.0,9.9,9.9,9.9
"합류식 (m)","계획면적 (㎢)",소계,합계,용산구,-,-,-,-,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,11.1,17.1,12.7,17.0,17.0,17.0,17.0,17.0,17.0
"합류식 (m)","계획면적 (㎢)",소계,합계,성동구,-,-,-,-,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,11.6,12.8,13.1,12.7,13.0,13.0,12.7,12.7,12.7
"합류식 (m)","계획면적 (㎢)",소계,합계,광진구,-,-,-,-,12.1,12.3,12.3,12.3,12.3,12.3,12.3,12.3,12.3,11.7,11.6,11.6,12.0,12.0,11.6,11.6,11.6
"합류식 (m)","계획면적 (㎢)",소계,합계,동대문구,-,-,-,-,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,12.4,11.8,13.0,11.7,12.0,12.0,11.7,11.7,11.7
"합류식 (m)","계획면적 (㎢)",소계,합계,중랑구,-,-,-,-,11.2,11.2,11.2,11.2,11.2,17.1,17.1,17.1,17.1,11.4,11.9,11.4,11.0,11.0,11.4,11.4,11.4
"합류식 (m)","계획면적 (㎢)",소계,합계,성북구,-,-,-,-,15.6,15.6,15.6,15.6,11.6,15.5,15.5,15.5,15.5,15.4,16.7,15.3,15.0,15.0,15.3,15.3,15.3
"합류식 (m)","계획면적 (㎢)",소계,합계,강북구,-,-,-,-,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.7,9.1,10.3,9.0,9.0,9.0,9.0,9.0,9.0
"합류식 (m)","계획면적 (㎢)",소계,합계,도봉구,-,-,-,-,6.0,6.0,6.0,6.0,6.0,7.6,7.6,7.6,7.6,8.5,8.5,8.5,9.0,9.0,8.5,8.5,8.5
"합류식 (m)","계획면적 (㎢)",소계,합계,노원구,-,-,-,-,6.6,6.7,6.8,6.8,6.8,17.6,17.6,17.6,17.6,6.9,11.7,6.8,7.0,7.0,6.8,6.8,6.8
"합류식 (m)","계획면적 (㎢)",소계,합계,은평구,-,-,-,-,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,13.6,15.3,12.9,15.2,15.0,15.0,15.2,15.2,15.2
"합류식 (m)","계획면적 (㎢)",소계,합계,서대문구,-,-,-,-,12.3,12.3,12.3,12.3,12.3,12.4,12.4,12.4,12.4,14.6,13.0,14.5,15.0,15.0,14.5,14.5,14.5
"합류식 (m)","계획면적 (㎢)",소계,합계,마포구,-,-,-,-,13.4,14.4,14.4,14.4,14.4,14.7,14.7,14.7,14.7,14.9,11.7,14.9,15.0,15.0,14.9,14.9,14.9
"합류식 (m)","계획면적 (㎢)",소계,합계,양천구,-,-,-,-,8.0,8.0,8.0,8.0,8.0,12.4,12.4,12.4,12.4,9.9,10.1,9.8,10.0,10.0,9.8,9.8,9.8
"합류식 (m)","계획면적 (㎢)",소계,합계,강서구,-,-,-,-,11.5,11.5,11.5,11.5,11.5,13.8,13.8,13.8,13.8,14.2,19.8,14.2,14.0,14.0,14.2,14.2,14.2
"합류식 (m)","계획면적 (㎢)",소계,합계,구로구,-,-,-,-,14.1,14.1,14.1,14.1,14.1,14.0,14.0,14.0,14.0,16.1,16.1,16.1,16.0,16.0,16.1,16.1,16.1
"합류식 (m)","계획면적 (㎢)",소계,합계,금천구,-,-,-,-,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.5,9.6,9.9,9.6,10.0,10.0,9.6,9.6,9.6
"합류식 (m)","계획면적 (㎢)",소계,합계,영등포구,-,-,-,-,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.8,15.0,16.2,15.0,15.0,15.0,15.0,15.0,15.0
"합류식 (m)","계획면적 (㎢)",소계,합계,동작구,-,-,-,-,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,11.8,13.9,13.4,13.9,14.0,14.0,13.9,13.9,13.9
"합류식 (m)","계획면적 (㎢)",소계,합계,관악구,-,-,-,-,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,15.9,19.4,14.8,19.4,19.0,19.0,19.4,19.4,19.4
"합류식 (m)","계획면적 (㎢)",소계,합계,서초구,-,-,-,-,22.2,22.2,22.2,22.2,22.2,23.6,23.6,23.6,23.6,24.3,20.8,24.2,24.0,24.0,24.2,24.2,24.2
"합류식 (m)","계획면적 (㎢)",소계,합계,강남구,-,-,-,-,17.8,17.8,17.8,17.8,17.8,25.8,25.8,25.8,25.8,20.5,23.2,20.5,21.0,21.0,20.5,20.5,20.5
"합류식 (m)","계획면적 (㎢)",소계,합계,송파구,-,-,-,-,17.7,17.7,17.7,17.7,17.7,27.2,27.2,27.2,27.2,16.0,12.0,16.0,16.0,16.0,16.0,16.0,16.0
"합류식 (m)","계획면적 (㎢)",소계,합계,강동구,-,-,-,-,9.5,9.9,9.9,9.9,9.9,13.1,13.1,13.1,13.1,11.0,10.2,11.0,11.0,11.0,11.0,11.0,11.0
"합류식 (m)","계획연장",소계,합계,소계,8709062,8731933,8763778,8788750,8804577,8812469,8817685,8818576,8820387,8819303,9527509,9572652,9673354,9651045,9631946,9640641,9123901,9123901,9517531,9514478,9463937
"합류식 (m)","계획연장",소계,합계,종로구,-,-,-,-,393911,394186,394186,394289,395680,397326,362172,320232,322260,322180,322565,319870,319870,319870,340525,340876,333900
"합류식 (m)","계획연장",소계,합계,중구,-,-,-,-,265887,265887,265887,265887,265887,266177,262308,263415,265792,264400,260785,258634,258634,258634,264470,264888,264866
"합류식 (m)","계획연장",소계,합계,용산구,-,-,-,-,361079,361204,361411,362209,362965,363594,348630,331705,332856,336052,335026,334085,334085,334085,354498,354954,354593
"합류식 (m)","계획연장",소계,합계,성동구,-,-,-,-,274270,274865,275516,275624,275624,275407,287575,287296,293882,288386,284617,282796,282796,282796,296870,296825,297089
"합류식 (m)","계획연장",소계,합계,광진구,-,-,-,-,372252,372313,372313,372313,372904,373142,346999,346617,345748,347564,348167,348742,349303,349303,357042,358354,357482
"합류식 (m)","계획연장",소계,합계,동대문구,-,-,-,-,413646,413706,414296,412570,407341,406286,399459,395389,394738,394791,394197,393357,393357,393357,401060,401444,398916
"합류식 (m)","계획연장",소계,합계,중랑구,-,-,-,-,373771,374465,375161,375620,376350,376350,366331,376253,377475,379326,381695,381695,381695,381695,408477,404608,400430
"합류식 (m)","계획연장",소계,합계,성북구,-,-,-,-,464152,465364,463110,461376,460951,461348,468750,458334,455277,457028,455757,469470,469470,469470,482770,482038,479915
